direction,code,network,links,color,name,physical_mode,headsign,label,equipments,text_color,trip_short_name,commercial_mode,description,links,arrival_date_time,additional_informations,departure_date_time,base_arrival_date_time,base_departure_date_time,data_freshness,delay,is_delayed
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8088,Rennes - Paris Montparnasse Hall 1 &2,[],,8088,TGV INOUI,,[],2023-01-05 18:29:00,[],20230105T183500,2023-01-05 18:29:00,20230105T183500,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Le Mans - Laval - Rennes,Train grande vitesse,857697,Le Mans - Laval - Rennes,[],,857697,TER,,[],2023-01-05 18:30:00,[],20230105T183000,2023-01-05 18:30:00,20230105T183000,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Le Mans - Laval - Rennes,Train grande vitesse,857671,Le Mans - Laval - Rennes,[],,857671,TER,,[],2023-01-05 19:01:00,[],20230105T190100,2023-01-05 19:01:00,20230105T190100,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8067,Rennes - Paris Montparnasse Hall 1 &2,[],,8067,TGV INOUI,,[],2023-01-05 19:11:00,[],20230105T191100,2023-01-05 19:11:00,20230105T191100,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8637,Brest - Paris Montparnasse Hall 1 &2,[],,8637,TGV INOUI,,[],2023-01-05 19:25:00,[],20230105T193200,2023-01-05 19:25:00,20230105T193200,base_schedule,0 days 00:00:00,False
Quimper (Quimper),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8731,Paris Montparnasse Hall 1 &2 - Quimper,[],,8731,TGV INOUI,,[],2023-01-05 19:25:00,[],20230105T192900,2023-01-05 19:25:00,20230105T192900,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858386,Nantes - Rennes Via Redon,[],,858386,TER,,[],2023-01-05 19:25:00,[],20230105T192500,2023-01-05 19:25:00,20230105T192500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8642,Brest - Paris Montparnasse Hall 1 &2,[],,8642,TGV INOUI,,[],2023-01-05 19:29:00,[],20230105T193500,2023-01-05 19:29:00,20230105T193500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,OUIGO,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,7616,Paris Montparnasse Hall 1 &2 - Quimper,[],,7616,OUIGO,,[],2023-01-05 19:44:00,[],20230105T194800,2023-01-05 19:44:00,20230105T194800,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Le Mans - Laval - Rennes,Train grande vitesse,857679,Le Mans - Laval - Rennes,[],,857679,TER,,[],2023-01-05 20:01:00,[],20230105T200100,2023-01-05 20:01:00,20230105T200100,base_schedule,0 days 00:00:00,False
